ticker,ticker_fullwidth,company_name,variants
13010,１３０１０,極洋,極洋 / 13010 / 極洋株式会社 / 極洋フーズ / 極洋シーフーズ / 極洋水産 / 極洋冷凍食品 / 極洋ブランド / 極洋サーモン / 極洋マグロ
13320,１３３２０,ニッスイ,ニッスイ / 日本水産 / 1332 / シーフード / 海の幸 / ちくわ / かまぼこ / おさかなソーセージ / アラスカポラック / 海鮮丼の素
13330,１３３３０,マルハニチロ,マルハニチロ / 13330 / マルハ / ニチロ / アクリブランド / ラ・カンティーヌ / あけぼの / 海のあじわい / さば水煮 / いわし蒲焼
13750,１３７５０,雪国まいたけ,雪国まいたけ / 13750 / 雪国しめじ / 雪国えのき / 雪国きのこ / 雪国ブランド / 雪国食品 / 雪国まいたけプレミアム / 雪国まいたけ極 / 雪国まいたけ有機
13760,１３７６０,カネコ種苗,カネコ種苗 / 13760 / カネコ / カネコシード / カネコブランド / カネコの種 / カネコの苗 / カネコ農業 / カネコ園芸 / カネコグリーン
13770,１３７７０,サカタのタネ,サカタのタネ / 13770 / サカタ / サカタシード / タネのサカタ / サカタブランド / 花のサカタ / 野菜のサカタ / ガーデンメイト / サカタプロダクト
13790,１３７９０,ホクト,ホクト / 13790 / きのこ / ぶなしめじ / えのき / まいたけ / たもぎたけ / ホクトプレミアム / きのこで菌活 / きのこレシピ
14140,１４１４０,ショーボンドホールディングス,申し訳ありませんが、「ショーボンドホールディングス」に関する具体的な略称、ニックネーム、製品名やブランド名の情報は私のデータベースにはありません。一般的には、会社名や証券コードがそのまま使われることが多いです。例えば、「ショーボンドホールディングス」や「14140」などです。詳細な情報は、公式サイトや金融ニュース、SNSなどで確認することをお勧めします。
14170,１４１７０,ミライト・ワン,申し訳ありませんが、具体的な企業や証券コードに関連する略称やニックネーム、製品名、ブランド名についての情報は提供できません。ただし、一般的に企業名や証券コードに関連する略称やニックネームは、企業名の一部や証券コードそのもの、またはそれに関連する製品やサービス名が使われることがあります。具体的な情報については、金融ニュースやSNS、企業の公式発表などを参照してください。
14190,１４１９０,タマホーム,タマホーム / 14190 / タマ / タマホーム株式会社 / 大安心の家 / 木のぬくもりの家 / タマホームの家 / タマホームのリフォーム / タマホームの注文住宅 / タマホームの分譲住宅
14350,１４３５０,ｒｏｂｏｔ　ｈｏｍｅ,ロボットホーム / robot home / 14350 / ロボホーム / Rホーム / R-home / Rホームシステム / R-home AI / R-home IoT / R-home Security
15140,１５１４０,住石ホールディングス,住石ホールディングス / 15140 / 住石 / 住石HD / 住石ホールディングス株式会社 / 住石グループ / 住友石炭 / 住友石炭鉱業 / 住石ブランド / 住石製品
15150,１５１５０,日鉄鉱業,日鉄鉱業 / 15150 / 日鉄鉱 / Nittetsu Mining / 日鉄鉱業株式会社 / Nittetsu / Nittetsu Kougyou / 日鉄鉱業グループ / Nittetsu Mining Co. / Ltd. / 日鉄鉱業製品
15180,１５１８０,三井松島ホールディングス,三井松島ホールディングス / 15180 / 三井松島 / 松島 / MMHD / 三井松島HD / 三井松島ホールディングス株式会社 / Mitsui Matsushima Holdings / Mitsui Matsushima / MM Holdings
16050,１６０５０,ＩＮＰＥＸ,INPEX / 16050 / 国際石油開発帝石 / インペックス / INPEXエネルギー / INPEXオイル / INPEXガス / INPEXプロジェクト / INPEX開発 / INPEXリソース
16620,１６６２０,石油資源開発,石油資源開発 / JAPEX / 16620 / 石油資源 / 石油開発 / JAPEX石油 / JAPEX開発 / 石油資源開発株式会社 / JAPEX株式会社 / 石油資源開発(株)
16630,１６６３０,Ｋ＆Ｏエナジーグループ,"申し訳ありませんが、「Ｋ＆Ｏエナジーグループ」に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持ち合わせていません。ただし、一般的に企業名や証券コードを略称として使うことが多いです。以下は一般的な例です：

Ｋ＆Ｏエナジーグループ / 16630

具体的な製品名やブランド名については、公式ウェブサイトやプレスリリースなどを参照することを"
167A0,１６７A０,リョーサン菱洋ホールディングス,申し訳ありませんが、「リョーサン菱洋ホールディングス」（証券コード: 167A0）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持っていません。最新の情報は、公式ウェブサイトや金融ニュース、SNSなどで確認してください。
17160,１７１６０,第一カッター興業,第一カッター興業 / 17160 / ダイイチカッター / カッター興業 / DCK / カッター工業 / 第一カッター / ダイイチ / カッター / カッターサービス
17190,１７１９０,安藤・間,申し訳ありませんが、「安藤・間」（証券コード: 17190）に関する具体的な略称、ニックネーム、製品名やブランド名のリストを提供することはできません。一般的に企業の略称やニックネームは、金融ニュースやSNSでの使用状況に依存するため、特定の情報源を確認する必要があります。公式な情報は企業のウェブサイトや金融関連のニュースサイトで確認することをお勧めします。
17200,１７２００,東急建設,東急建設 / 17200 / 東急 / Tokyu Construction / 東急コン / Tokyu Kensetsu / 東急建 / TCC / 東急建設株式会社 / 東急建設グループ
17210,１７２１０,コムシスホールディングス,コムシスホールディングス / 17210 / コムシス / COMSYS / コムシスHD / コムシスホールディングス株式会社 / コムシスグループ / コムシスネットワーク / コムシスソリューション / コムシスエンジニアリング
17260,１７２６０,ビーアールホールディングス,申し訳ありませんが、「ビーアールホールディングス」（証券コード: 17260）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持ち合わせていません。一般的に、企業の略称やニックネームはSNSや金融ニュースで独自に使われることが多いため、公式な情報源やSNSでの使用例を確認することをお勧めします。
17620,１７６２０,高松コンストラクショングループ,申し訳ありませんが、「高松コンストラクショングループ」（証券コード: 17620）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持ち合わせていません。一般的には、企業の略称やニックネームはSNSや金融ニュースでの使用状況によって異なることがあります。企業の公式ウェブサイトやプレスリリース、または金融情報サイトで最新の情報を確認することをお勧めします。
17660,１７６６０,東建コーポレーション,東建コーポレーション / 17660 / 東建 / TKC / ホームメイト / ホームメイト・リサーチ / ホームメイト・ネット / ホームメイト・ショップ / ホームメイト・レジデンス / ホームメイト・オフィス
17800,１７８００,ヤマウラ,申し訳ありませんが、具体的な企業やその証券コードに関連する略称、ニックネーム、製品名やブランド名についての情報は提供できません。一般的な情報や質問についてはお手伝いできますので、他に知りたいことがあればお知らせください。
17860,１７８６０,オリエンタル白石,オリエンタル白石 / 17860 / オリ白 / オリエンタル / OWS / オリエンタルホワイトストーン / 白石 / オリホク / オリエンタル建設 / オリエンタル技研
18010,１８０１０,大成建設,大成建設 / 18010 / TAISEI / 大成 / TAISEI CORPORATION / 大成グループ / 大成建設株式会社 / TAISEI建設 / 大成プロジェクト / TAISEIブランド
18020,１８０２０,大林組,大林組 / 18020 / 大林 / OBAYASHI / OBAYASHI CORPORATION / 大林グループ / 大林建設 / 大林プロジェクト / 大林技術 / 大林エンジニアリング
18030,１８０３０,清水建設,清水建設 / 18030 / 清水 / シミケン / 清建 / Shimizu Corporation / ピルコム / ピルコム工法 / シミズ / SHIMIZU
18080,１８０８０,長谷工コーポレーション,長谷工 / 長谷工コーポレーション / 18080 / HASEKO / HASEKOグループ / 長谷工マンション / 長谷工の家 / 長谷工不動産 / 長谷工リフォーム / 長谷工コミュニティ
