ticker,ticker_fullwidth,company_name,variants,sector17_code,sector17,variants_cleaned
13010,１３０１０,極洋,極洋 / 極洋株式会社 / 極洋フーズ / 極洋シーフーズ / 極洋水産 / 極洋冷凍食品 / 極洋ブランド / 極洋サーモン / 極洋マグロ,1,食品,(極洋 OR 極洋株式会社 OR 極洋フーズ OR 極洋シーフーズ OR 極洋水産 OR 極洋冷凍食品 OR 極洋ブランド OR 極洋サーモン OR 極洋マグロ)
13320,１３３２０,ニッスイ,ニッスイ / 日本水産 / 1332 / シーフード / 海の幸 / ちくわ / かまぼこ / おさかなソーセージ / アラスカポラック / 海鮮丼の素,1,食品,(ニッスイ OR 日本水産 OR 海の幸 OR おさかなソーセージ OR アラスカポラック OR 海鮮丼の素)
13330,１３３３０,マルハニチロ,マルハニチロ / マルハ / ニチロ / アクリブランド / ラ・カンティーヌ / あけぼの / 海のあじわい / さば水煮 / いわし蒲焼,1,食品,(マルハニチロ OR マルハ OR ニチロ OR アクリブランド OR カンティーヌ OR あけぼの OR 海のあじわい OR さば水煮 OR いわし蒲焼)
13750,１３７５０,雪国まいたけ,雪国まいたけ / 雪国しめじ / 雪国えのき / 雪国きのこ / 雪国ブランド / 雪国食品 / 雪国まいたけプレミアム / 雪国まいたけ極 / 雪国まいたけ有機,1,食品,(雪国まいたけ OR 雪国しめじ OR 雪国えのき OR 雪国きのこ OR 雪国ブランド OR 雪国食品 OR 雪国まいたけプレミアム OR 雪国まいたけ極 OR 雪国まいたけ有機)
13760,１３７６０,カネコ種苗,カネコ種苗 / カネコ / カネコシード / カネコブランド / カネコの種 / カネコの苗 / カネコ農業 / カネコ園芸 / カネコグリーン,1,食品,(カネコ種苗 OR カネコ OR カネコシード OR カネコブランド OR カネコの種 OR カネコの苗 OR カネコ農業 OR カネコ園芸 OR カネコグリーン)
13770,１３７７０,サカタのタネ,サカタのタネ / サカタシード / タネのサカタ / サカタブランド / 花のサカタ / 野菜のサカタ / ガーデンメイト / サカタプロダクト,1,食品,(サカタのタネ OR サカタシード OR タネのサカタ OR サカタブランド OR 花のサカタ OR 野菜のサカタ OR ガーデンメイト OR サカタプロダクト)
13790,１３７９０,ホクト,ホクト / きのこ / ぶなしめじ / えのき / まいたけ / たもぎたけ / ホクトプレミアム / きのこで菌活 / きのこレシピ,1,食品,(ホクト OR きのこ OR ぶなしめじ OR えのき OR まいたけ OR たもぎたけ OR ホクトプレミアム OR きのこで菌活 OR きのこレシピ)
14140,１４１４０,ショーボンドホールディングス,ショーボンド / ショーボンドHD,3,建設・資材,(ショーボンド OR ショーボンドHD)
14170,１４１７０,ミライト・ワン,,3,建設・資材,
14190,１４１９０,タマホーム,タマホーム / タマ / タマホーム株式会社 / 大安心の家 / 木のぬくもりの家 / タマホームの家 / タマホームのリフォーム / タマホームの注文住宅 / タマホームの分譲住宅,3,建設・資材,(タマホーム OR タマ OR タマホーム株式会社 OR 大安心の家 OR 木のぬくもりの家 OR タマホームの家 OR タマホームのリフォーム OR タマホームの注文住宅 OR タマホームの分譲住宅)
