date,n_trades,n_win,n_loss,n_other,day_pl,cash
2025-02-26,0,0,0,0,0.0,1000000.0
2025-02-27,3,0,0,3,-2450.0,617904.4999999997
2025-02-28,3,0,3,0,-49013.99999999994,568890.4999999997
2025-03-03,0,0,0,0,0.0,568890.4999999997
2025-03-04,2,1,1,0,-1860.0000000000364,567030.4999999997
2025-03-05,0,0,0,0,0.0,567030.4999999997
2025-03-06,0,0,0,0,0.0,567030.4999999997
2025-03-07,1,0,1,0,-15180.000000000018,551850.4999999997
2025-03-10,0,0,0,0,0.0,551850.4999999997
2025-03-11,1,1,0,0,16020.000000000027,567870.4999999997
2025-03-12,0,0,0,0,0.0,567870.4999999997
2025-03-13,0,0,0,0,0.0,567870.4999999997
2025-03-14,0,0,0,0,0.0,567870.4999999997
2025-03-17,0,0,0,0,0.0,567870.4999999997
2025-03-18,0,0,0,0,0.0,567870.4999999997
2025-03-19,0,0,0,0,0.0,567870.4999999997
2025-03-20,0,0,0,0,0.0,567870.4999999997
2025-03-21,0,0,0,0,0.0,567870.4999999997
2025-03-24,0,0,0,0,0.0,567870.4999999997
2025-03-25,0,0,0,0,0.0,567870.4999999997
2025-03-26,0,0,0,0,0.0,567870.4999999997
2025-03-27,1,0,1,0,-9345.000000000027,558525.4999999997
2025-03-28,3,0,1,2,-707.0000000000164,557818.4999999997
2025-03-31,5,0,5,0,-67389.00000000006,490429.49999999965
2025-04-01,3,0,3,0,-37950.000000000044,452479.49999999965
2025-04-02,0,0,0,0,0.0,452479.49999999965
2025-04-03,5,0,4,1,-42240.0000000001,410239.4999999996
2025-04-04,5,0,1,4,103219.49999999997,513458.99999999953
2025-04-07,5,1,4,0,-20439.000000000124,493019.9999999994
2025-04-08,0,0,0,0,0.0,493019.9999999994
2025-04-09,5,0,1,0,-11136.000000000013,481883.9999999994
2025-04-10,0,0,0,0,0.0,481883.9999999994
2025-04-11,5,2,1,2,-1550.0,480333.9999999994
2025-04-14,0,0,0,0,0.0,480333.9999999994
2025-04-15,0,0,0,0,0.0,480333.9999999994
2025-04-16,0,0,0,0,0.0,480333.9999999994
2025-04-17,0,0,0,0,0.0,480333.9999999994
2025-04-18,0,0,0,0,0.0,480333.9999999994
2025-04-21,0,0,0,0,0.0,480333.9999999994
2025-04-22,0,0,0,0,0.0,480333.9999999994
2025-04-23,0,0,0,0,0.0,480333.9999999994
2025-04-24,0,0,0,0,0.0,480333.9999999994
2025-04-25,0,0,0,0,0.0,480333.9999999994
2025-04-28,1,0,1,0,-8490.00000000001,471843.9999999994
2025-04-29,0,0,0,0,0.0,471843.9999999994
2025-04-30,3,0,0,3,-400.0,471443.9999999994
2025-05-01,0,0,0,0,0.0,471443.9999999994
2025-05-02,0,0,0,0,0.0,471443.9999999994
2025-05-05,0,0,0,0,0.0,471443.9999999994
2025-05-06,0,0,0,0,0.0,471443.9999999994
2025-05-07,0,0,0,0,0.0,471443.9999999994
2025-05-08,0,0,0,0,0.0,471443.9999999994
2025-05-09,1,0,1,0,-9771.000000000004,461672.9999999994
2025-05-12,1,0,1,0,-12486.000000000013,449186.9999999994
2025-05-13,0,0,0,0,0.0,449186.9999999994
2025-05-14,3,0,0,3,-2800.0,446386.9999999994
2025-05-15,4,1,1,2,17389.999999999996,463776.9999999994
2025-05-16,3,0,1,2,-6465.000000000009,457311.9999999994
2025-05-19,0,0,0,0,0.0,457311.9999999994
2025-05-20,1,0,1,0,-13680.00000000004,443631.99999999936
2025-05-21,0,0,0,0,0.0,443631.99999999936
2025-05-22,0,0,0,0,0.0,443631.99999999936
2025-05-23,0,0,0,0,0.0,443631.99999999936
