date,equity
2025-02-26,1000000.0
2025-02-27,617904.4999999997
2025-02-28,568890.4999999997
2025-03-03,568890.4999999997
2025-03-04,567030.4999999997
2025-03-05,567030.4999999997
2025-03-06,567030.4999999997
2025-03-07,551850.4999999997
2025-03-10,551850.4999999997
2025-03-11,567870.4999999997
2025-03-12,567870.4999999997
2025-03-13,567870.4999999997
2025-03-14,567870.4999999997
2025-03-17,567870.4999999997
2025-03-18,567870.4999999997
2025-03-19,567870.4999999997
2025-03-20,567870.4999999997
2025-03-21,567870.4999999997
2025-03-24,567870.4999999997
2025-03-25,567870.4999999997
2025-03-26,567870.4999999997
2025-03-27,558525.4999999997
2025-03-28,557818.4999999997
2025-03-31,490429.49999999965
2025-04-01,452479.49999999965
2025-04-02,452479.49999999965
2025-04-03,410239.4999999996
2025-04-04,513458.99999999953
2025-04-07,493019.9999999994
2025-04-08,493019.9999999994
2025-04-09,481883.9999999994
2025-04-10,481883.9999999994
2025-04-11,480333.9999999994
2025-04-14,480333.9999999994
2025-04-15,480333.9999999994
2025-04-16,480333.9999999994
2025-04-17,480333.9999999994
2025-04-18,480333.9999999994
2025-04-21,480333.9999999994
2025-04-22,480333.9999999994
2025-04-23,480333.9999999994
2025-04-24,480333.9999999994
2025-04-25,480333.9999999994
2025-04-28,471843.9999999994
2025-04-29,471843.9999999994
2025-04-30,471443.9999999994
2025-05-01,471443.9999999994
2025-05-02,471443.9999999994
2025-05-05,471443.9999999994
2025-05-06,471443.9999999994
2025-05-07,471443.9999999994
2025-05-08,471443.9999999994
2025-05-09,461672.9999999994
2025-05-12,449186.9999999994
2025-05-13,449186.9999999994
2025-05-14,446386.9999999994
2025-05-15,463776.9999999994
2025-05-16,457311.9999999994
2025-05-19,457311.9999999994
2025-05-20,443631.99999999936
2025-05-21,443631.99999999936
2025-05-22,443631.99999999936
2025-05-23,443631.99999999936
