trade_id,signal_date,buy_date,sell_date,ticker,quantity,buy_price,sell_price,trade_type,strategy,result,pl,score,technicals,fundamentals,gpt_summary,gpt_decision,news_url,reason,take_profit,stop_loss,logged_at
1,2025-02-27,2025-02-28,2025-03-04,24130,100,1791.5,1791.0,BOUGHT,mean_reversion,TIMEOUT,-50.0,63.0,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 9615400.0, ""volume_spike"": 0.9445104761156351}","{""eps"": 59.62, ""eps_yoy"": -0.10587882421927446, ""profit"": 40484000000.0, ""profit_yoy"": -0.1057409820856619, ""revenue"": 284900000000.0, ""revenue_yoy"": 0.1926340509789311, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,1737.7549999999999,2025-06-07 22:54:17
2,2025-02-27,2025-02-28,2025-03-04,35460,100,1043.0,1039.0,BOUGHT,mean_reversion,TIMEOUT,-400.0,58.2,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 216900.0, ""volume_spike"": 0.7407786885245902}","{""eps"": 69.39, ""eps_yoy"": -0.11796110332808428, ""profit"": 2088000000.0, ""profit_yoy"": -0.11973018549747048, ""revenue"": 153345000000.0, ""revenue_yoy"": 0.02424606752830378, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,no_news,,1011.7099999999999,2025-06-07 22:54:17
3,2025-02-27,2025-02-28,2025-03-04,31980,100,2050.0,2049.0,BOUGHT,mean_reversion,TIMEOUT,-100.0,56.4,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 176000.0, ""volume_spike"": 1.4113873295910184}","{""eps"": 65.15, ""eps_yoy"": -0.08239436618557819, ""profit"": 1485000000.0, ""profit_yoy"": -0.14211438474870017, ""revenue"": 30389000000.0, ""revenue_yoy"": 0.045049692217751645, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,slightly_bad_news,,1988.5,2025-06-07 22:54:17
4,2025-02-28,2025-03-03,2025-03-04,65250,100,3052.0,2960.44,BOUGHT,mean_reversion,SL,-9155.999999999995,100.0,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 12669400.0, ""volume_spike"": 2.807965513802236}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,2960.44,2025-06-07 22:54:34
5,2025-02-28,2025-03-03,2025-03-05,268A0,100,1086.0,1053.42,BOUGHT,mean_reversion,SL,-3257.9999999999927,87.4,"{""rsi_14"": 26.530612217825905, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 3725900.0, ""volume_spike"": 2.8271492525988315}","{""error"": ""Not enough FY data""}",,,,slightly_bad_news,,1053.42,2025-06-07 22:54:34
6,2025-02-28,2025-03-03,2025-03-04,66200,100,1201.0,1164.97,BOUGHT,mean_reversion,SL,-3602.9999999999973,61.9,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 63300.0, ""volume_spike"": 1.2448377581120944}","{""eps"": 9.14, ""eps_yoy"": -0.31791044752394737, ""profit"": 365000000.0, ""profit_yoy"": -0.31902985074626866, ""revenue"": 1030000000.0, ""revenue_yoy"": -0.09410729991204925, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,1164.97,2025-06-07 22:54:34
7,2025-03-04,2025-03-05,2025-03-06,65250,100,2860.0,2774.2,BOUGHT,mean_reversion,SL,-8580.000000000018,78.2,"{""rsi_14"": 0.0, ""ma5"": 3091.5, ""ma25"": NaN, ""volume"": 4195200.0, ""volume_spike"": 0.6742607794211598}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3091.5,2774.2,2025-06-07 22:54:53
8,2025-03-04,2025-03-05,2025-03-05,72200,100,2576.0,2609.6,BOUGHT,mean_reversion,TP,3359.999999999991,70.8,"{""rsi_14"": 19.893846712408077, ""ma5"": 2609.6, ""ma25"": NaN, ""volume"": 1626100.0, ""volume_spike"": 1.2479901763272512}","{""eps"": 118.8, ""eps_yoy"": -0.020125371162972156, ""profit"": 7782000000.0, ""profit_yoy"": -0.017548289357404368, ""revenue"": 347196000000.0, ""revenue_yoy"": -0.007776129767916392, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2609.6,2498.72,2025-06-07 22:54:53
9,2025-03-07,2025-03-10,2025-03-11,72200,100,2530.0,2454.1,BOUGHT,mean_reversion,SL,-7590.000000000009,65.1,"{""rsi_14"": 29.026846223668073, ""ma5"": 2603.2, ""ma25"": NaN, ""volume"": 1099600.0, ""volume_spike"": 0.907603056315442}","{""eps"": 118.8, ""eps_yoy"": -0.020125371162972156, ""profit"": 7782000000.0, ""profit_yoy"": -0.017548289357404368, ""revenue"": 347196000000.0, ""revenue_yoy"": -0.007776129767916392, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2603.2,2454.1,2025-06-07 22:55:24
10,2025-03-11,2025-03-12,2025-03-12,262A0,100,1621.0,1674.4,BOUGHT,mean_reversion,TP,5340.000000000009,61.8,"{""rsi_14"": 28.539375108283195, ""ma5"": 1674.4, ""ma25"": NaN, ""volume"": 443400.0, ""volume_spike"": 0.7561964678238461}","{""error"": ""Not enough FY data""}",,,,no_news,1674.4,1572.37,2025-06-07 22:55:41
11,2025-03-27,2025-03-28,2025-03-31,40040,100,3115.0,3021.5499999999997,BOUGHT,mean_reversion,SL,-9345.000000000027,100.0,"{""rsi_14"": 29.158852205495705, ""ma5"": 3401.2, ""ma25"": NaN, ""volume"": 2391100.0, ""volume_spike"": 2.555030774491366}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,3401.2,3021.5499999999997,2025-06-07 22:57:07
