trade_id,signal_date,buy_date,sell_date,ticker,quantity,buy_price,sell_price,trade_type,strategy,result,pl,score,technicals,fundamentals,gpt_summary,gpt_decision,news_url,reason,take_profit,stop_loss,logged_at,previous_run_result,previous_run_pl,result,pl
1,2025/02/27,,,24130,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,63,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 9615400.0, ""volume_spike"": 0.9445104761156351}","{""eps"": 59.62, ""eps_yoy"": -0.10587882421927446, ""profit"": 40484000000.0, ""profit_yoy"": -0.1057409820856619, ""revenue"": 284900000000.0, ""revenue_yoy"": 0.1926340509789311, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,,2025/06/08 0:05,TIMEOUT,-50,TIMEOUT,-50
2,2025/02/27,,,35460,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,58.2,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 216900.0, ""volume_spike"": 0.7407786885245902}","{""eps"": 69.39, ""eps_yoy"": -0.11796110332808428, ""profit"": 2088000000.0, ""profit_yoy"": -0.11973018549747048, ""revenue"": 153345000000.0, ""revenue_yoy"": 0.02424606752830378, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,no_news,,,2025/06/08 0:05,TIMEOUT,-400,TIMEOUT,-400
3,2025/02/27,,,31980,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,56.4,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 176000.0, ""volume_spike"": 1.4113873295910184}","{""eps"": 65.15, ""eps_yoy"": -0.08239436618557819, ""profit"": 1485000000.0, ""profit_yoy"": -0.14211438474870017, ""revenue"": 30389000000.0, ""revenue_yoy"": 0.045049692217751645, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,slightly_bad_news,,,2025/06/08 0:05,TIMEOUT,-100,TIMEOUT,-100
4,2025/02/28,,,65250,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 12669400.0, ""volume_spike"": 2.807965513802236}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,,2025/06/08 0:05,SL,-9156,SL,-9156
5,2025/02/28,,,268A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,87.4,"{""rsi_14"": 26.530612217825905, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 3725900.0, ""volume_spike"": 2.8271492525988315}","{""error"": ""Not enough FY data""}",,,,slightly_bad_news,,,2025/06/08 0:05,SL,-3258,SL,-3258
6,2025/02/28,,,66200,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,61.9,"{""rsi_14"": 0.0, ""ma5"": NaN, ""ma25"": NaN, ""volume"": 63300.0, ""volume_spike"": 1.2448377581120944}","{""eps"": 9.14, ""eps_yoy"": -0.31791044752394737, ""profit"": 365000000.0, ""profit_yoy"": -0.31902985074626866, ""revenue"": 1030000000.0, ""revenue_yoy"": -0.09410729991204925, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,,,2025/06/08 0:05,SL,-3603,SL,-3603
7,2025/03/04,,,65250,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,78.2,"{""rsi_14"": 0.0, ""ma5"": 3091.5, ""ma25"": NaN, ""volume"": 4195200.0, ""volume_spike"": 0.6742607794211598}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3091.5,,2025/06/08 0:05,SL,-8580,SL,-8580
8,2025/03/04,,,72200,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,70.8,"{""rsi_14"": 19.893846712408077, ""ma5"": 2609.6, ""ma25"": NaN, ""volume"": 1626100.0, ""volume_spike"": 1.2479901763272512}","{""eps"": 118.8, ""eps_yoy"": -0.020125371162972156, ""profit"": 7782000000.0, ""profit_yoy"": -0.017548289357404368, ""revenue"": 347196000000.0, ""revenue_yoy"": -0.007776129767916392, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2609.6,,2025/06/08 0:05,TP,3360,TP,3360
9,2025/03/07,,,72200,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,65.1,"{""rsi_14"": 29.026846223668073, ""ma5"": 2603.2, ""ma25"": NaN, ""volume"": 1099600.0, ""volume_spike"": 0.907603056315442}","{""eps"": 118.8, ""eps_yoy"": -0.020125371162972156, ""profit"": 7782000000.0, ""profit_yoy"": -0.017548289357404368, ""revenue"": 347196000000.0, ""revenue_yoy"": -0.007776129767916392, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2603.2,,2025/06/08 0:06,SL,-7590,SL,-7590
10,2025/03/11,,,262A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,61.8,"{""rsi_14"": 28.539375108283195, ""ma5"": 1674.4, ""ma25"": NaN, ""volume"": 443400.0, ""volume_spike"": 0.7561964678238461}","{""error"": ""Not enough FY data""}",,,,no_news,1674.4,,2025/06/08 0:06,TP,5340,TP,5340
11,2025/03/27,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 29.158852205495705, ""ma5"": 3401.2, ""ma25"": NaN, ""volume"": 2391100.0, ""volume_spike"": 2.555030774491366}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,3401.2,,2025/06/08 0:07,SL,-9345,SL,-9345
