trade_id,signal_date,buy_date,sell_date,ticker,quantity,buy_price,sell_price,trade_type,strategy,result,pl,score,normalized_score,technicals,fundamentals,gpt_summary,gpt_decision,news_url,reason,news_headlines,take_profit,stop_loss,logged_at
1,2023-06-07,2023-06-08,2023-06-09,25330,100,373.0,378.8,BOUGHT,mean_reversion,TP,580.0000000000011,1.6668162773126933,33.3,"{""rsi_14"": 20.23548190566018, ""ma5"": 378.8, ""ma25"": NaN, ""volume"": 409100.0, ""volume_spike"": 1.5424639457064757}",{},,,,no_news,[],378.8,361.81,2025-06-08 19:33:16
2,2023-06-07,2023-06-08,2023-06-09,63150,100,2367.0,2430.8,BOUGHT,mean_reversion,TP,6380.000000000018,1.3315807821527144,26.6,"{""rsi_14"": 11.939549441334478, ""ma5"": 2430.8, ""ma25"": NaN, ""volume"": 470800.0, ""volume_spike"": 1.2076439656278055}",{},,,,no_news,[],2430.8,2295.99,2025-06-08 19:33:16
3,2023-06-07,2023-06-08,2023-06-08,65260,100,17780.0,18326.0,BOUGHT,mean_reversion,TP,54600.0,0.9059747453320812,18.1,"{""rsi_14"": 22.589027964359786, ""ma5"": 18326.0, ""ma25"": NaN, ""volume"": 3494700.0, ""volume_spike"": 0.7774033167606527}",{},,,,no_news,[],18326.0,17246.6,2025-06-08 19:33:16
4,2023-06-12,2023-06-13,2023-06-13,89180,100,9.0,8.73,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,-26.999999999999957,1.3041802056625902,26.1,"{""rsi_14"": 27.478651511821326, ""ma5"": 8.8, ""ma25"": NaN, ""volume"": 22378700.0, ""volume_spike"": 0.9708468723292568}",{},,,,no_news,[],8.8,8.73,2025-06-08 19:33:42
5,2023-06-15,2023-06-16,2023-06-20,34150,100,380.0,368.59999999999997,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,-1140.0000000000034,10.429837924231451,100.0,"{""rsi_14"": 27.429337611692546, ""ma5"": 444.0, ""ma25"": NaN, ""volume"": 2932500.0, ""volume_spike"": 9.908098793796668}",{},,,,no_news,[],444.0,368.59999999999997,2025-06-08 19:34:08
6,2023-06-22,2023-06-23,2023-06-26,25330,100,350.0,339.5,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,-1050.0,2.421685967686909,48.4,"{""rsi_14"": 21.74701872652642, ""ma5"": 365.2, ""ma25"": NaN, ""volume"": 496500.0, ""volume_spike"": 2.298398296454032}",{},,,,no_news,[],365.2,339.5,2025-06-08 19:34:50
7,2023-06-29,2023-06-30,2023-07-04,42860,100,853.0,827.41,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,-2559.000000000003,3.941896470869501,78.8,"{""rsi_14"": 23.546918274763385, ""ma5"": 894.0, ""ma25"": NaN, ""volume"": 129300.0, ""volume_spike"": 3.8046196851552154}",{},,,,no_news,[],894.0,827.41,2025-06-08 19:35:38
8,2023-06-29,2023-06-30,2023-07-04,36880,100,1215.0,1232.0,BOUGHT,mean_reversion,TIMEOUT,1700.0,2.8092114866321234,56.2,"{""rsi_14"": 18.328037767630192, ""ma5"": 1268.8, ""ma25"": NaN, ""volume"": 366100.0, ""volume_spike"": 2.681953042013113}",{},,,,no_news,[],1268.8,1178.55,2025-06-08 19:35:38
9,2023-06-29,2023-06-30,2023-06-30,73880,100,4730.0,4588.099999999999,BOUGHT,mean_reversion,SL,-14190.000000000055,2.1487283686858745,43.0,"{""rsi_14"": 11.64375628726475, ""ma5"": 8134.0, ""ma25"": NaN, ""volume"": 57900.0, ""volume_spike"": 0.6421204391704558}",{},,,,no_news,[],8134.0,4588.099999999999,2025-06-08 19:35:38
10,2023-07-04,2023-07-05,2023-07-06,73880,100,4090.0,3967.2999999999997,BOUGHT,mean_reversion,SL,-12270.000000000027,1.7843224825540116,35.7,"{""rsi_14"": 12.41486779192492, ""ma5"": 5357.0, ""ma25"": NaN, ""volume"": 148700.0, ""volume_spike"": 1.5823357275871242}",{},2023-07-05 『MONEY DOCTOR パラスポーツスペシャル 第30回 日本ゴールボール選手権大会』が開催されました（15:00）,,,no_news,"[{""date"": ""2023-07-05"", ""headline"": ""『MONEY DOCTOR パラスポーツスペシャル 第30回 日本ゴールボール選手権大会』が開催されました（15:00）"", ""url"": ""/7388/140120231205599422""}]",5357.0,3967.2999999999997,2025-06-08 19:36:03
