DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2025-01-31,15:30:00,66630,20241218540676,FYFinancialStatements_Consolidated_JP,FY,2023-12-21,2024-12-20,2023-12-21,2024-12-20,2024-12-21,2025-12-20,3519000000,-54000000,-47000000,-79000000,-13.35,,4543000000,2531000000,0.55,417.55,248000000,-5000000,-158000000,573000000,,0.0,,3.0,3.0,,17000000,,,,,,,,,,,0.0,,3.0,3.0,,0.568,,,,,,2058000000,-64000000,-67000000,-74000000,-12.43,,,,,,4471000000,61000000,55000000,31000000,5.28,,false,false,false,false,false,5992400,6227,5974357,3011000000,-113000000,-94000000,-116000000,-19.57,4398000000,2373000000,0.54,396.44,,,,,,,,,,,,,,,,,,,,
2025-01-31,13:00:00,93030,20250115551230,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191800000000,13300000000,16800000000,19200000000,246.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,13:00:00,93030,20250115551235,DividendForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,15:30:00,43720,20250116551648,EarnForecastRevision,FY,2024-01-01,2024-12-31,2024-01-01,2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,55.0,,,,,,,,,,,,,,,,,,,,,2669000000,637000000,637000000,469000000,122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,15:30:00,21750,20250117552471,DividendForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,13:00:00,19420,20250124554763,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,82.0,,,,,,,,,,,,,,,,,,,,,666000000000,57000000000,58200000000,41700000000,204.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579000000000,48700000000,50100000000,37100000000,181.52,,,,,
2025-01-31,17:00:00,59050,20250124555128,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11080000000,-538000000,-488000000,-374000000,-278.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713000000,,-537000000,-379000000,-282.2,,,,,
2025-01-31,18:00:00,26670,20250127555513,FYFinancialStatements_NonConsolidated_JP,FY,2023-10-01,2024-09-30,2023-10-01,2024-09-30,2024-10-01,2025-09-30,1563000000,-844000000,-865000000,-889000000,-82.92,,1569000000,735000000,0.469,68.56,-207000000,-25000000,-36000000,553000000,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,1989000000,-183000000,-196000000,-200000000,-18.65,,,false,false,false,false,10803600,74538,10729062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,15:00:00,19410,20250127555578,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224000000000,19000000000,20900000000,17600000000,325.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178000000000,17000000000,19400000000,17500000000,323.21,,,,,
2025-01-31,15:30:00,19440,20250127555750,EarnForecastRevision,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690000000000,52000000000,55500000000,40000000000,200.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584000000000,44500000000,49500000000,36200000000,181.04,,,,,
