ticker,ticker_fullwidth,company_name
13010,１３０１０,極洋
13320,１３３２０,ニッスイ
13330,１３３３０,マルハニチロ
13750,１３７５０,雪国まいたけ
13760,１３７６０,カネコ種苗
13770,１３７７０,サカタのタネ
13790,１３７９０,ホクト
14140,１４１４０,ショーボンドホールディングス
14170,１４１７０,ミライト・ワン
14190,１４１９０,タマホーム
14350,１４３５０,ｒｏｂｏｔ　ｈｏｍｅ
15140,１５１４０,住石ホールディングス
15150,１５１５０,日鉄鉱業
15180,１５１８０,三井松島ホールディングス
16050,１６０５０,ＩＮＰＥＸ
16620,１６６２０,石油資源開発
16630,１６６３０,Ｋ＆Ｏエナジーグループ
167A0,１６７A０,リョーサン菱洋ホールディングス
17160,１７１６０,第一カッター興業
17190,１７１９０,安藤・間
17200,１７２００,東急建設
17210,１７２１０,コムシスホールディングス
17260,１７２６０,ビーアールホールディングス
17620,１７６２０,高松コンストラクショングループ
17660,１７６６０,東建コーポレーション
17800,１７８００,ヤマウラ
17860,１７８６０,オリエンタル白石
18010,１８０１０,大成建設
18020,１８０２０,大林組
18030,１８０３０,清水建設
18080,１８０８０,長谷工コーポレーション
18100,１８１００,松井建設
18120,１８１２０,鹿島建設
18130,１８１３０,不動テトラ
18150,１８１５０,鉄建建設
18200,１８２００,西松建設
18210,１８２１０,三井住友建設
18220,１８２２０,大豊建設
18330,１８３３０,奥村組
18350,１８３５０,東鉄工業
18520,１８５２０,淺沼組
18600,１８６００,戸田建設
18610,１８６１０,熊谷組
18700,１８７００,矢作建設工業
18710,１８７１０,ピーエス・コンストラクション
18730,１８７３０,日本ハウスホールディングス
18780,１８７８０,大東建託
18790,１８７９０,新日本建設
18820,１８８２０,東亜道路工業
18840,１８８４０,日本道路
18850,１８８５０,東亜建設工業
18870,１８８７０,日本国土開発
18880,１８８８０,若築建設
18900,１８９００,東洋建設
18930,１８９３０,五洋建設
18980,１８９８０,世紀東急工業
18990,１８９９０,福田組
19110,１９１１０,住友林業
19250,１９２５０,大和ハウス工業
19260,１９２６０,ライト工業
19280,１９２８０,積水ハウス
19290,１９２９０,日特建設
19300,１９３００,北陸電気工事
19340,１９３４０,ユアテック
19380,１９３８０,日本リーテック
19390,１９３９０,四電工
19410,１９４１０,中電工
19420,１９４２０,関電工
19440,１９４４０,きんでん
19450,１９４５０,東京エネシス
19460,１９４６０,トーエネック
19490,１９４９０,住友電設
19500,１９５００,日本電設工業
19510,１９５１０,エクシオグループ
19520,１９５２０,新日本空調
19590,１９５９０,九電工
19610,１９６１０,三機工業
19630,１９６３０,日揮ホールディングス
19640,１９６４０,中外炉工業
19680,１９６８０,太平電業
19690,１９６９０,高砂熱学工業
19730,１９７３０,ＮＥＣネッツエスアイ
19750,１９７５０,朝日工業社
19760,１９７６０,明星工業
19790,１９７９０,大氣社
19800,１９８００,ダイダン
19820,１９８２０,日比谷総合設備
20010,２００１０,ニップン
20020,２００２０,日清製粉グループ本社
20030,２００３０,日東富士製粉
20040,２００４０,昭和産業
20530,２０５３０,中部飼料
20600,２０６００,フィード・ワン
21080,２１０８０,日本甜菜製糖
21090,２１０９０,ＤＭ三井製糖ホールディングス
21170,２１１７０,ウェルネオシュガー
21200,２１２００,ＬＩＦＵＬＬ
21210,２１２１０,ＭＩＸＩ
21240,２１２４０,ジェイエイシーリクルートメント
21270,２１２７０,日本Ｍ＆Ａセンターホールディングス
21300,２１３００,メンバーズ
21460,２１４６０,ＵＴグループ
21480,２１４８０,アイティメディア
21500,２１５００,ケアネット
21530,２１５３０,Ｅ・Ｊホールディングス
21540,２１５４０,オープンアップグループ
21570,２１５７０,コシダカホールディングス
21680,２１６８０,パソナグループ
21700,２１７００,リンクアンドモチベーション
21750,２１７５０,エス・エム・エス
21810,２１８１０,パーソルホールディングス
21930,２１９３０,クックパッド
22010,２２０１０,森永製菓
22040,２２０４０,中村屋
22060,２２０６０,江崎グリコ
22070,２２０７０,名糖産業
22090,２２０９０,井村屋グループ
22110,２２１１０,不二家
22120,２２１２０,山崎製パン
22170,２２１７０,モロゾフ
22200,２２２００,亀田製菓
22220,２２２２０,寿スピリッツ
22290,２２２９０,カルビー
22640,２２６４０,森永乳業
22660,２２６６０,六甲バター
22670,２２６７０,ヤクルト本社
22690,２２６９０,明治ホールディングス
22700,２２７００,雪印メグミルク
22810,２２８１０,プリマハム
22820,２２８２０,日本ハム
22880,２２８８０,丸大食品
22920,２２９２０,Ｓ　Ｆｏｏｄｓ
22940,２２９４０,柿安本店
22960,２２９６０,伊藤ハム米久ホールディングス
23010,２３０１０,学情
23050,２３０５０,スタジオアリス
23070,２３０７０,クロスキャット
23170,２３１７０,システナ
23250,２３２５０,ＮＪＳ
23260,２３２６０,デジタルアーツ
23270,２３２７０,日鉄ソリューションズ
23310,２３３１０,綜合警備保障
23350,２３３５０,キューブシステム
23370,２３３７０,いちご
23530,２３５３０,日本駐車場開発
23590,２３５９０,コア
23710,２３７１０,カカクコム
23720,２３７２０,アイロムグループ
23740,２３７４０,セントケア・ホールディング
23780,２３７８０,ルネサンス
23790,２３７９０,ディップ
23840,２３８４０,ＳＢＳホールディングス
23890,２３８９０,デジタルホールディングス
23950,２３９５０,新日本科学
24130,２４１３０,エムスリー
24290,２４２９０,ワールドホールディングス
24320,２４３２０,ディー・エヌ・エー
24330,２４３３０,博報堂ＤＹホールディングス
24400,２４４００,ぐるなび
