ticker,ticker_fullwidth,company_name,variants
13010,１３０１０,極洋,極洋 / 極洋株式会社 / 極洋フーズ / 極洋シーフーズ / 極洋水産 / 極洋冷凍食品 / 極洋ブランド / 極洋サーモン / 極洋マグロ
13320,１３３２０,ニッスイ,ニッスイ / 日本水産 / 1332 / シーフード / 海の幸 / ちくわ / かまぼこ / おさかなソーセージ / アラスカポラック / 海鮮丼の素
13330,１３３３０,マルハニチロ,マルハニチロ / マルハ / ニチロ / アクリブランド / ラ・カンティーヌ / あけぼの / 海のあじわい / さば水煮 / いわし蒲焼
13750,１３７５０,雪国まいたけ,雪国まいたけ / 雪国しめじ / 雪国えのき / 雪国きのこ / 雪国ブランド / 雪国食品 / 雪国まいたけプレミアム / 雪国まいたけ極 / 雪国まいたけ有機
13760,１３７６０,カネコ種苗,カネコ種苗 / カネコ / カネコシード / カネコブランド / カネコの種 / カネコの苗 / カネコ農業 / カネコ園芸 / カネコグリーン
13770,１３７７０,サカタのタネ,サカタのタネ / サカタシード / タネのサカタ / サカタブランド / 花のサカタ / 野菜のサカタ / ガーデンメイト / サカタプロダクト
13790,１３７９０,ホクト,ホクト / きのこ / ぶなしめじ / えのき / まいたけ / たもぎたけ / ホクトプレミアム / きのこで菌活 / きのこレシピ
14140,１４１４０,ショーボンドホールディングス,ショーボンド / ショーボンドHD
14170,１４１７０,ミライト・ワン,
14190,１４１９０,タマホーム,タマホーム / タマ / タマホーム株式会社 / 大安心の家 / 木のぬくもりの家 / タマホームの家 / タマホームのリフォーム / タマホームの注文住宅 / タマホームの分譲住宅
14350,１４３５０,ｒｏｂｏｔ　ｈｏｍｅ,ロボットホーム / robot home / ロボホーム / Rホーム / R-home / Rホームシステム / R-home AI / R-home IoT / R-home Security
15140,１５１４０,住石ホールディングス,住石ホールディングス / 住石 / 住石HD / 住石ホールディングス株式会社 / 住石グループ / 住友石炭 / 住友石炭鉱業 / 住石ブランド / 住石製品
15150,１５１５０,日鉄鉱業,日鉄鉱業 / 日鉄鉱 / Nittetsu Mining / 日鉄鉱業株式会社 / Nittetsu / Nittetsu Kougyou / 日鉄鉱業グループ / Nittetsu Mining Co. / Ltd. / 日鉄鉱業製品
15180,１５１８０,三井松島ホールディングス,三井松島ホールディングス / 三井松島 / 松島 / MMHD / 三井松島HD / 三井松島ホールディングス株式会社 / Mitsui Matsushima Holdings / Mitsui Matsushima / MM Holdings
16050,１６０５０,ＩＮＰＥＸ,INPEX / 国際石油開発帝石 / インペックス / INPEXエネルギー / INPEXオイル / INPEXガス / INPEXプロジェクト / INPEX開発 / INPEXリソース
16620,１６６２０,石油資源開発,石油資源開発 / JAPEX / 石油資源 / 石油開発 / JAPEX石油 / JAPEX開発 / 石油資源開発株式会社 / JAPEX株式会社 / 石油資源開発(株)
16630,１６６３０,Ｋ＆Ｏエナジーグループ,Ｋ＆Ｏエナジー / Ｋ＆ＯエナジーG
167A0,１６７A０,リョーサン菱洋ホールディングス,リョーサン菱洋 / リョーサン菱洋HD
17160,１７１６０,第一カッター興業,第一カッター興業 / ダイイチカッター / カッター興業 / DCK / カッター工業 / 第一カッター / ダイイチ / カッター / カッターサービス
17190,１７１９０,安藤・間,
17200,１７２００,東急建設,東急建設 / Tokyu Construction / 東急コン / Tokyu Kensetsu / 東急建 / 東急建設株式会社 / 東急建設グループ / 東急
17210,１７２１０,コムシスホールディングス,コムシスホールディングス / コムシス / COMSYS / コムシスHD / コムシスホールディングス株式会社 / コムシスグループ / コムシスネットワーク / コムシスソリューション / コムシスエンジニアリング
17260,１７２６０,ビーアールホールディングス,ビーアール / ビーアールHD
17620,１７６２０,高松コンストラクショングループ,高松コンストラクション / 高松コンストラクションG
17660,１７６６０,東建コーポレーション,東建コーポレーション / ホームメイト / ホームメイト・リサーチ / ホームメイト・ネット / ホームメイト・ショップ / ホームメイト・レジデンス / ホームメイト・オフィス
17800,１７８００,ヤマウラ,
17860,１７８６０,オリエンタル白石,オリエンタル白石 / オリ白 / オリエンタル / OWS / オリエンタルホワイトストーン / 白石 / オリホク / オリエンタル建設 / オリエンタル技研
18010,１８０１０,大成建設,大成建設 / TAISEI / 大成 / TAISEI CORPORATION / 大成グループ / 大成建設株式会社 / TAISEI建設 / 大成プロジェクト / TAISEIブランド
18020,１８０２０,大林組,大林組 / 大林 / OBAYASHI / OBAYASHI CORPORATION / 大林グループ / 大林建設 / 大林プロジェクト / 大林技術 / 大林エンジニアリング
18030,１８０３０,清水建設,清水建設 / 清水 / シミケン / 清建 / Shimizu Corporation / ピルコム / ピルコム工法 / シミズ / SHIMIZU
18080,１８０８０,長谷工コーポレーション,長谷工 / 長谷工コーポレーション / HASEKO / HASEKOグループ / 長谷工マンション / 長谷工の家 / 長谷工不動産 / 長谷工リフォーム / 長谷工コミュニティ
18100,１８１００,松井建設,松井
18120,１８１２０,鹿島建設,鹿島建設 / 鹿島 / 鹿島建 / KAJIMA / 鹿島グループ / 鹿島技術研究所 / 鹿島プロジェクト / 鹿島ブランド / 鹿島の家
18130,１８１３０,不動テトラ,不動テトラ / テトラ / 不動 / 不動テ / テトラ工法 / テトラブロック / テトラポッド / 不動テトラ工法 / 不動テトラ製品
18150,１８１５０,鉄建建設,鉄建建設 / 鉄建 / 鉄建グループ / 鉄建ブランド / 鉄建プロジェクト / 鉄建技術 / 鉄建ソリューション / 鉄建インフラ
