ticker,ticker_fullwidth,company_name,variants,sector17_code,sector17,company_name_variants,product_names
13010,１３０１０,極洋,極洋 / 極洋株式会社 / 極洋フーズ / 極洋シーフーズ / 極洋水産 / 極洋冷凍食品 / 極洋ブランド / 極洋サーモン / 極洋マグロ,1.0,食品,,
13320,１３３２０,ニッスイ,ニッスイ / 日本水産 / 1332 / シーフード / 海の幸 / ちくわ / かまぼこ / おさかなソーセージ / アラスカポラック / 海鮮丼の素,1.0,食品,,
13330,１３３３０,マルハニチロ,マルハニチロ / マルハ / ニチロ / アクリブランド / ラ・カンティーヌ / あけぼの / 海のあじわい / さば水煮 / いわし蒲焼,1.0,食品,,
13750,１３７５０,雪国まいたけ,雪国まいたけ / 雪国しめじ / 雪国えのき / 雪国きのこ / 雪国ブランド / 雪国食品 / 雪国まいたけプレミアム / 雪国まいたけ極 / 雪国まいたけ有機,1.0,食品,,
13760,１３７６０,カネコ種苗,カネコ種苗 / カネコ / カネコシード / カネコブランド / カネコの種 / カネコの苗 / カネコ農業 / カネコ園芸 / カネコグリーン,1.0,食品,,
13770,１３７７０,サカタのタネ,サカタのタネ / サカタシード / タネのサカタ / サカタブランド / 花のサカタ / 野菜のサカタ / ガーデンメイト / サカタプロダクト,1.0,食品,,
13790,１３７９０,ホクト,ホクト / きのこ / ぶなしめじ / えのき / まいたけ / たもぎたけ / ホクトプレミアム / きのこで菌活 / きのこレシピ,1.0,食品,,
14140,１４１４０,ショーボンドホールディングス,ショーボンド / ショーボンドHD,3.0,建設・資材,,
14170,１４１７０,ミライト・ワン,,3.0,建設・資材,,
14190,１４１９０,タマホーム,タマホーム / タマ / タマホーム株式会社 / 大安心の家 / 木のぬくもりの家 / タマホームの家 / タマホームのリフォーム / タマホームの注文住宅 / タマホームの分譲住宅,3.0,建設・資材,,
14350,１４３５０,ｒｏｂｏｔ　ｈｏｍｅ,ロボットホーム / robot home / ロボホーム / Rホーム / R-home / Rホームシステム / R-home AI / R-home IoT / R-home Security,17.0,不動産,,
15140,１５１４０,住石ホールディングス,住石ホールディングス / 住石 / 住石HD / 住石ホールディングス株式会社 / 住石グループ / 住友石炭 / 住友石炭鉱業 / 住石ブランド / 住石製品,2.0,エネルギー資源,,
15150,１５１５０,日鉄鉱業,日鉄鉱業 / 日鉄鉱 / Nittetsu Mining / 日鉄鉱業株式会社 / Nittetsu / Nittetsu Kougyou / 日鉄鉱業グループ / Nittetsu Mining Co. / Ltd. / 日鉄鉱業製品,2.0,エネルギー資源,,
15180,１５１８０,三井松島ホールディングス,三井松島ホールディングス / 三井松島 / 松島 / MMHD / 三井松島HD / 三井松島ホールディングス株式会社 / Mitsui Matsushima Holdings / Mitsui Matsushima / MM Holdings,10.0,情報通信・サービスその他,,
16050,１６０５０,ＩＮＰＥＸ,INPEX / 国際石油開発帝石 / インペックス / INPEXエネルギー / INPEXオイル / INPEXガス / INPEXプロジェクト / INPEX開発 / INPEXリソース,2.0,エネルギー資源,,
16620,１６６２０,石油資源開発,石油資源開発 / JAPEX / 石油資源 / 石油開発 / JAPEX石油 / JAPEX開発 / 石油資源開発株式会社 / JAPEX株式会社 / 石油資源開発(株),2.0,エネルギー資源,,
16630,１６６３０,Ｋ＆Ｏエナジーグループ,Ｋ＆Ｏエナジー / Ｋ＆ＯエナジーG,2.0,エネルギー資源,,
167A0,１６７A０,リョーサン菱洋ホールディングス,リョーサン菱洋 / リョーサン菱洋HD,13.0,商社・卸売,,
17160,１７１６０,第一カッター興業,第一カッター興業 / ダイイチカッター / カッター興業 / DCK / カッター工業 / 第一カッター / ダイイチ / カッター / カッターサービス,3.0,建設・資材,,
17190,１７１９０,安藤・間,,3.0,建設・資材,,
17200,１７２００,東急建設,東急建設 / Tokyu Construction / 東急コン / Tokyu Kensetsu / 東急建 / 東急建設株式会社 / 東急建設グループ / 東急,3.0,建設・資材,,
17210,１７２１０,コムシスホールディングス,コムシスホールディングス / コムシス / COMSYS / コムシスHD / コムシスホールディングス株式会社 / コムシスグループ / コムシスネットワーク / コムシスソリューション / コムシスエンジニアリング,3.0,建設・資材,,
17260,１７２６０,ビーアールホールディングス,ビーアール / ビーアールHD,3.0,建設・資材,,
17620,１７６２０,高松コンストラクショングループ,高松コンストラクション / 高松コンストラクションG,3.0,建設・資材,,
17660,１７６６０,東建コーポレーション,東建コーポレーション / ホームメイト / ホームメイト・リサーチ / ホームメイト・ネット / ホームメイト・ショップ / ホームメイト・レジデンス / ホームメイト・オフィス,3.0,建設・資材,,
17800,１７８００,ヤマウラ,,3.0,建設・資材,,
17860,１７８６０,オリエンタル白石,オリエンタル白石 / オリ白 / オリエンタル / OWS / オリエンタルホワイトストーン / 白石 / オリホク / オリエンタル建設 / オリエンタル技研,3.0,建設・資材,,
18010,１８０１０,大成建設,大成建設 / TAISEI / 大成 / TAISEI CORPORATION / 大成グループ / 大成建設株式会社 / TAISEI建設 / 大成プロジェクト / TAISEIブランド,3.0,建設・資材,,
18020,１８０２０,大林組,大林組 / 大林 / OBAYASHI / OBAYASHI CORPORATION / 大林グループ / 大林建設 / 大林プロジェクト / 大林技術 / 大林エンジニアリング,3.0,建設・資材,,
18030,１８０３０,清水建設,清水建設 / 清水 / シミケン / 清建 / Shimizu Corporation / ピルコム / ピルコム工法 / シミズ / SHIMIZU,3.0,建設・資材,,
18080,１８０８０,長谷工コーポレーション,長谷工 / 長谷工コーポレーション / HASEKO / HASEKOグループ / 長谷工マンション / 長谷工の家 / 長谷工不動産 / 長谷工リフォーム / 長谷工コミュニティ,3.0,建設・資材,,
18100,１８１００,松井建設,松井,3.0,建設・資材,,
18120,１８１２０,鹿島建設,鹿島建設 / 鹿島 / 鹿島建 / KAJIMA / 鹿島グループ / 鹿島技術研究所 / 鹿島プロジェクト / 鹿島ブランド / 鹿島の家,3.0,建設・資材,,
18130,１８１３０,不動テトラ,不動テトラ / テトラ / 不動 / 不動テ / テトラ工法 / テトラブロック / テトラポッド / 不動テトラ工法 / 不動テトラ製品,3.0,建設・資材,,
18150,１８１５０,鉄建建設,鉄建建設 / 鉄建 / 鉄建グループ / 鉄建ブランド / 鉄建プロジェクト / 鉄建技術 / 鉄建ソリューション / 鉄建インフラ,3.0,建設・資材,,
18200,１８２００,西松建設,西松建設 / 西松 / NIPPO / NIPPOコーポレーション / 西松グループ / 西松建設株式会社 / 西松建設グループ / 西松建設工業 / 西松建設プロジェクト,3.0,建設・資材,,
18210,１８２１０,三井住友建設,三井住友建設 / 三住建 / SMCC / Mitsui Sumitomo Construction / 三井住友 / 住友建設 / 三住 / Mitsui Construction / Sumitomo Construction,3.0,建設・資材,,
18220,１８２２０,大豊建設,大豊建設 / 大豊 / 大豊建 / 大豊建設株式会社 / DAIHO CORPORATION / DAIHO建設 / 大豊ブランド / 大豊プロジェクト,3.0,建設・資材,,
18330,１８３３０,奥村組,奥村組 / 1833 / 奥村 / OKUMURA / オクムラ / 奥村建設 / 奥村グループ / 奥村土木 / 奥村技術 / 奥村プロジェクト,3.0,建設・資材,,
18350,１８３５０,東鉄工業,東鉄工業 / TTK / 東鉄工 / 東鉄工業株式会社 / 東鉄グループ / 東鉄製品 / 東鉄ブランド / 東鉄工業製品 / 東鉄,3.0,建設・資材,,
18520,１８５２０,淺沼組,淺沼組 / 淺沼 / Asanuma / 淺沼建設 / 淺沼工務店 / 淺沼グループ / 淺沼プロジェクト / 淺沼デザイン / 淺沼技術,3.0,建設・資材,,
18600,１８６００,戸田建設,戸田建設 / 戸田 / TODA / 戸田建 / 戸田グループ / TODA Corporation / 戸田建設株式会社 / TODA建設 / TODAグループ,3.0,建設・資材,,
18610,１８６１０,熊谷組,熊谷組 / 熊谷 / KUMAGAI / 熊谷建設 / 熊谷グループ / KUMAGAI GUMI / 熊谷組株式会社 / 熊谷組建設 / KUMAGAI CONSTRUCTION,3.0,建設・資材,,
18700,１８７００,矢作建設工業,矢作建設工業 / 矢作 / 矢作建設 / YKK / 矢作工業 / 矢作ブランド / 矢作製品 / 矢作プロジェクト / 矢作グループ,3.0,建設・資材,,
18710,１８７１０,ピーエス・コンストラクション,,3.0,建設・資材,,
18730,１８７３０,日本ハウスホールディングス,日本ハウスホールディングス / 日本ハウス / 日本ハウスHD / JHHD / 日本ハウスグループ / 日本ハウスホールディングス株式会社 / 日本ハウスブランド / 日本ハウスの家 / 日本ハウスの住宅,3.0,建設・資材,,
18780,１８７８０,大東建託,大東建託 / DK SELECT / いい部屋ネット / 大東 / Daito / Daito Trust / Daito Kentaku / いい部屋 / DKマンション,17.0,不動産,,
18790,１８７９０,新日本建設,新日本,3.0,建設・資材,,
18820,１８８２０,東亜道路工業,東亜道路工業 / 東亜道路 / TOA / TOA ROAD / トアロード / トア / トア工業 / トア道路 / トアブランド,3.0,建設・資材,,
18840,１８８４０,日本道路,,3.0,建設・資材,,
18850,１８８５０,東亜建設工業,東亜建設工業 / 東亜建設 / 東亜コンストラクション / 東亜建 / 東亜工業 / 東亜建設工業株式会社 / 東亜建設工,3.0,建設・資材,,
18870,１８８７０,日本国土開発,日本国土開発 / 日国 / 日本国土 / 国土開発 / JDC / ジャパンデベロップメント / 国土 / 日本国土開発株式会社,3.0,建設・資材,,
18880,１８８８０,若築建設,若築,3.0,建設・資材,,
18900,１８９００,東洋建設,東洋建設 / TOYO / 東洋コンストラクション / TOYO Construction / 東洋建 / 東洋建設株式会社 / 東洋建設グループ / 東洋,3.0,建設・資材,,
18930,１８９３０,五洋建設,五洋建設 / 五洋 / Penta-Ocean / 五洋コンストラクション / 五洋建 / POC / 五洋マリン / 五洋技術 / 五洋プロジェクト,3.0,建設・資材,,
18980,１８９８０,世紀東急工業,"世紀東急 / 東急工業 / STK / 世紀 / 工業 / 世紀東急建設 / 東急建設

具体的な製品名やブランド名については、企業の公式",3.0,建設・資材,,
18990,１８９９０,福田組,,3.0,建設・資材,,
19110,１９１１０,住友林業,住友林業 / 住林 / Sumirin / フォレストワン / フォレストメゾン / フォレストガーデン / フォレストヒルズ / フォレストヴィラ / フォレストウッド,3.0,建設・資材,,
19250,１９２５０,大和ハウス工業,大和ハウス工業 / 大和ハウス / ダイワハウス / DAIWA HOUSE / Dハウス / DAIWA LIVING / D's SMART / xevo,3.0,建設・資材,,
19260,１９２６０,ライト工業,ライト工業 / LITE / ライトグループ / ライトテクノロジー / ライトソリューション / ライトエンジニアリング / ライトコンストラクション / ライトインフラ / ライト,3.0,建設・資材,,
19280,１９２８０,積水ハウス,積水ハウス / セキスイハウス / シャーメゾン / グリーンファースト / ビエナ / セキスイツーユーホーム / セキスイイズム / セキスイシャーメゾン,3.0,建設・資材,,
19290,１９２９０,日特建設,日特建設 / 日特 / NITTOC / NITTOC建設 / 日特工法 / NITTOCブランド / 日特ソリューション / 日特技術 / 日特プロジェクト,3.0,建設・資材,,
19300,１９３００,北陸電気工事,北陸電気工事 / 北電工 / HEC / 北陸電工 / Hokudenko / 北陸電気 / 北陸電工事 / 北陸電気工事株式会社 / 北陸電気工事(株),3.0,建設・資材,,
19340,１９３４０,ユアテック,ユアテック / ユアテック株式会社 / YURATEC / ユアテックグループ / ユアテック電設 / ユアテックエンジニアリング / ユアテックソリューション / ユアテックサービス / ユアテックプロジェクト,3.0,建設・資材,,
19380,１９３８０,日本リーテック,,3.0,建設・資材,,
19390,１９３９０,四電工,四電工 / 四国電力工事 / 四国電工 / 四国電力工事株式会社 / 四国電工株式会社 / 四電工グループ / 四電工ネットワーク / 四電工サービス,3.0,建設・資材,,
19410,１９４１０,中電工,中電工 / 中電工グループ / 中電工ネットワーク / 中電工サービス / 中電工エンジニアリング / 中電工ソリューション / 中電工プロジェクト,3.0,建設・資材,,
19420,１９４２０,関電工,関電工 / KANDENKO / 関電工株式会社 / KANDENKO Co. / Ltd. / 電気工事 / 通信工事 / 空調設備 / 照明設備,3.0,建設・資材,,
19440,１９４４０,きんでん,きんでん / Kinden / KND / Kinden Corporation / 近電 / 近畿電気工事 / Kinden Group / Kinden Electric / Kinden Holdings,3.0,建設・資材,,
19450,１９４５０,東京エネシス,,3.0,建設・資材,,
19460,１９４６０,トーエネック,トーエネック / TOENEC / トーエネック株式会社 / トーエネックグループ / トーエネック電設 / トーエネックエンジニアリング / トーエネックソリューション / トーエネックサービス / トーエネックプロジェクト,3.0,建設・資材,,
19490,１９４９０,住友電設,住友電設 / 住電設 / Sumitomo Densetsu / 住友電工 / Sumiden / 住友電設株式会社,3.0,建設・資材,,
19500,１９５００,日本電設工業,日本電設工業 / 日電工 / 日本電設 / 電設工 / 日本電設工業株式会社 / 日電設 / 日本電設工業株,3.0,建設・資材,,
19510,１９５１０,エクシオグループ,エクシオ / エクシオG,3.0,建設・資材,,
19520,１９５２０,新日本空調,新日本空調 / 新日空 / SNA / エアテック / クリーンエアシステム / 空調ソリューション / HVACソリューション / 環境技術 / 空調設備,3.0,建設・資材,,
19590,１９５９０,九電工,九電工 / 九電工グループ / 九電工エンジニアリング / 九電工サービス / 九電工ソリューション / 九電工テクノロジー / 九電工プロジェクト,3.0,建設・資材,,
19610,１９６１０,三機工業,三機工業 / 三機 / Sanki / 三機空調 / 三機設備 / 三機エンジニアリング / 三機システム / 三機テクノロジー / 三機ソリューション,3.0,建設・資材,,
19630,１９６３０,日揮ホールディングス,日揮ホールディングス / 日揮 / JGC / JGCホールディングス / JGCグループ / 日揮グループ / 日揮エンジニアリング / JGCエンジニアリング / 日揮プロジェクト / 日揮HD,3.0,建設・資材,,
19640,１９６４０,中外炉工業,中外炉工業 / 中外炉 / チュウガイロ / 中外炉エンジニアリング / 中外炉技術 / 中外炉製品 / 中外炉ブランド / 中外炉ソリューション / 中外炉サービス,3.0,建設・資材,,
19680,１９６８０,太平電業,,3.0,建設・資材,,
19690,１９６９０,高砂熱学工業,高砂熱学工業 / 高砂熱学 / TAKASAGO / 高砂エンジニアリング / 高砂技術 / 高砂製品 / 高砂ブランド / 高砂システム,3.0,建設・資材,,
19730,１９７３０,ＮＥＣネッツエスアイ,ＮＥＣネッツエスアイ / ネッツエスアイ / NEC Nets SI / NECネッツ / ネッツSI / NEC NSI / NECネットワーク / ネットワークソリューション / NECコミュニケーション,,,,
19750,１９７５０,朝日工業社,,3.0,建設・資材,,
19760,１９７６０,明星工業,明星,3.0,建設・資材,,
19790,１９７９０,大氣社,大氣社 / ダイキ / 空調設備 / クリーンルーム / HVAC / エアコン / 産業設備,3.0,建設・資材,,
19800,１９８００,ダイダン,ダイダン / ダイダン株式会社 / Daidan / ダイダン工業 / ダイダン設備 / ダイダンテクノロジー / ダイダンエンジニアリング / ダイダンソリューション / ダイダンプロジェクト,3.0,建設・資材,,
19820,１９８２０,日比谷総合設備,日比谷総合設備 / 日比谷設備 / Hibiya Engineering / Hibiya / Hibiya SE / 日比谷 / Hibiya総合 / Hibiya設備 / Hibiyaエンジニアリング,3.0,建設・資材,,
20010,２００１０,ニップン,ニップン / 日本製粉 / オーマイ / REGALO / アマニ / ニップンアマニ / ニップンウェルナ / ニップンフーズ / ニップンプレミアム,1.0,食品,,
20020,２００２０,日清製粉グループ本社,日清製粉グループ本社 / 日清製粉 / 日清フーズ / マ・マー / オーマイ / 日清ファルマ / 日清製粉ウェルナ / 日清ペットフード / 日清製粉プレミックス,1.0,食品,,
20030,２００３０,日東富士製粉,日東富士製粉 / 日東富士 / ニットーフーズ / ニットーミックス / ニットー / 富士製粉 / ニットー製粉 / 日東製粉 / ニットー富士,1.0,食品,,
20040,２００４０,昭和産業,昭和産業 / SHOWA / 昭和天ぷら粉 / 昭和の小麦粉 / 昭和の油 / 昭和のパスタ / 昭和のパン粉 / 昭和のホットケーキミックス / 昭和の調味料 / 昭和,1.0,食品,,
20530,２０５３０,中部飼料,中部飼料 / 中飼 / フィードワングループ / フィードワンホールディングス / フィードワンペット / フィードワンアクア / フィードワンバイオ,1.0,食品,,
20600,２０６００,フィード・ワン,フィード・ワン / フィード・ワンホールディングス / アニマルフィード / アクアフィード / ペットフード / 飼料 / フィードワンフーズ,1.0,食品,,
21080,２１０８０,日本甜菜製糖,日本甜菜製糖 / ビート糖 / スズラン印 / 北海道ビート / てんさい糖 / スズランブランド / ビートシュガー / 甜菜糖 / 北海道産糖,1.0,食品,,
21090,２１０９０,ＤＭ三井製糖ホールディングス,ＤＭ三井製糖ホールディングス / 三井製糖 / スプーン印 / パールエース / 角砂糖 / グラニュー糖 / 三井糖 / 三井砂糖 / みついさとう / ＤＭ三井製糖 / ＤＭ三井製糖HD,1.0,食品,,
21170,２１１７０,ウェルネオシュガー,ウェルネオシュガー / ウェルシュガー / ネオシュガー / ウェルネオ / ウェルシュ / ネオシュ / ウェルネ / ウェル / ネオ,1.0,食品,,
21200,２１２００,ＬＩＦＵＬＬ,LIFULL / ライフル / HOME'S / LIFULL介護 / LIFULL引越し / LIFULL不動産 / LIFULL住まい / LIFULLインテリア,10.0,情報通信・サービスその他,,
21210,２１２１０,ＭＩＸＩ,ミクシィ / mixi / モンスト / モンスターストライク / XFLAG / FamilyAlbum / モンパス / モンストスタジアム / モンストグランプリ,10.0,情報通信・サービスその他,,
21240,２１２４０,ジェイエイシーリクルートメント,ジェイエイシーリクルートメント / JACリクルートメント / JAC / JAC Recruitment / ジェイエイシー / JACジャパン / JACグループ / ジェイエイシー・ジャパン / JAC International,10.0,情報通信・サービスその他,,
21270,２１２７０,日本Ｍ＆Ａセンターホールディングス,日本M&Aセンターホールディングス / M&Aセンター / 日本M&A / JMAC / M&Aホールディングス / 日本M&Aセンターホールディングス株式会社 / M&Aセンターホールディングス / 日本M&Aセンター / M&AセンターHD / 日本Ｍ＆Ａセンター / 日本Ｍ＆ＡセンターHD,10.0,情報通信・サービスその他,,
21300,２１３００,メンバーズ,,10.0,情報通信・サービスその他,,
21460,２１４６０,ＵＴグループ,UTグループ / UTホールディングス / UTエンジニアリング / UTテクノロジー / UTコンストラクション / UTファクトリー / UTパートナーズ / UTキャリア / 証券コード21460 / ＵＴ / ＵＴG,10.0,情報通信・サービスその他,,
21480,２１４８０,アイティメディア,アイティメディア / ITmedia / アイティメディア株式会社 / ITmedia News / ITmedia Mobile / ITmedia ビジネスオンライン / ITmedia エンタープライズ / ITmedia マーケティング / ねとらぼ,10.0,情報通信・サービスその他,,
21500,２１５００,ケアネット,ケアネット / ケアネット株式会社 / CareNet / CareNet.com / ケアネットニュース / ケアネットマガジン / ケアネットTV / ケアネットセミナー / ケアネットアカデミー,10.0,情報通信・サービスその他,,
21530,２１５３０,Ｅ・Ｊホールディングス,Ｅ・Ｊ / Ｅ・ＪHD,10.0,情報通信・サービスその他,,
21540,２１５４０,オープンアップグループ,オープンアップ / オープンアップG,10.0,情報通信・サービスその他,,
21570,２１５７０,コシダカホールディングス,コシダカホールディングス / カラオケまねきねこ / まねきねこ / ひとりカラオケ専門店ワンカラ / ワンカラ / コシダカ / コシダカHD / コシダカグループ / まねきねこアプリ,10.0,情報通信・サービスその他,,
21680,２１６８０,パソナグループ,パソナ / パソナグループ / Pasona / Pasona Group / パソナキャリア / パソナテック / パソナフォーチュン / パソナHRソリューション / パソナアーバンファーム / パソナG,10.0,情報通信・サービスその他,,
21700,２１７００,リンクアンドモチベーション,リンクアンドモチベーション / LMI / Link and Motivation / モチベーションクラウド / エンゲージメントサーベイ / モチベーションカンパニー / リンクアンドカンパニー / モチベーションアカデミー / リンクアンドリーダーシップ,10.0,情報通信・サービスその他,,
21750,２１７５０,エス・エム・エス,エス・エム・エス / SMS / カイポケ / 介護のほんね / 看護のお仕事 / ナース専科 / イーキャリアFA / 介護求人ナビ / 介護ワーカー,10.0,情報通信・サービスその他,,
21810,２１８１０,パーソルホールディングス,パーソル / PERSOL / パーソルHD / パーソルホールディングス / テンプスタッフ / doda / ミイダス / パーソルキャリア / パーソルプロセス&テクノロジー,10.0,情報通信・サービスその他,,
21930,２１９３０,クックパッド,クックパッド / クック / クックパッド株式会社 / Cookpad / クックパッドレシピ / クックパッドアプリ / クックパッドマート / クックパッドストア / クックパッドダイエット,10.0,情報通信・サービスその他,,
22010,２２０１０,森永製菓,森永製菓 / チョコボール / ミルクキャラメル / ハイチュウ / ダース / 森永ビスケット / 森永ホットケーキミックス,1.0,食品,,
22040,２２０４０,中村屋,中村屋 / 中村屋カレー / 月餅 / あんまん / 肉まん / 中村屋レトルト / 中村屋スパイス / 中村屋パン / 中村屋スイーツ,1.0,食品,,
22060,２２０６０,江崎グリコ,江崎グリコ / グリコ / ポッキー / プリッツ / アーモンドチョコレート / カプリコ / ビスコ / パピコ / ジャイアントコーン,1.0,食品,,
22070,２２０７０,名糖産業,名糖産業 / 名糖 / メイトー / スティックカフェオレ / スティックコーヒー / 名糖プリン / 名糖チョコレート / 名糖ミルク / 名糖アイスクリーム,1.0,食品,,
22090,２２０９０,井村屋グループ,井村屋グループ / 井村屋 / あずきバー / やわもちアイス / クリームチーズデザート / 井村屋の肉まん / 井村屋のあんまん / 井村屋の中華まん / 井村屋のたい焼き / 井村屋G,1.0,食品,,
22110,２２１１０,不二家,不二家 / ペコちゃん / ミルキー / カントリーマアム / ルックチョコレート / ホームパイ / ポップキャンディ / ネクター / 不二家レストラン,1.0,食品,,
22120,２２１２０,山崎製パン,山崎製パン / ヤマザキ / 山パン / ランチパック / ダブルソフト / ロイヤルブレッド / 超芳醇 / ゴールドシリーズ / まるごとソーセージ,1.0,食品,,
22170,２２１７０,モロゾフ,モロゾフ / モロゾフチョコレート / モロゾフプリン / モロゾフケーキ / モロゾフスイーツ / モロゾフギフト / モロゾフデザート / モロゾフカフェ / モロゾフブランド,1.0,食品,,
22200,２２２００,亀田製菓,亀田製菓 / 亀田 / 亀田の柿の種 / ハッピーターン / ぽたぽた焼 / 亀田のあられ / サラダホープ / 亀田のまがりせんべい / 亀田の海苔ピーパック,1.0,食品,,
22220,２２２２０,寿スピリッツ,寿スピリッツ / 寿製菓 / 砂糖の国のケーキ屋さん / 夢菓房たから / 風雅堂 / 寿庵 / 夢菓房寿 / 夢菓房 / 寿製菓のどら焼き,1.0,食品,,
22290,２２２９０,カルビー,カルビー / ポテトチップス / じゃがりこ / かっぱえびせん / サッポロポテト / フルグラ / Jagabee / ピザポテト / じゃがビー,1.0,食品,,
22640,２２６４０,森永乳業,森永乳業 / MOW / ピノ / 森永ビヒダスヨーグルト / 森永アロエヨーグルト / 森永牛乳 / 森永乳業株式会社,1.0,食品,,
22660,２２６６０,六甲バター,六甲バター / Q・B・B / チーズデザート / ベビーチーズ / チーズフォンデュ / スライスチーズ / ナチュラルチーズ / プロセスチーズ / チーズキューブ,1.0,食品,,
22670,２２６７０,ヤクルト本社,ヤクルト / ヤクルト本社 / Yakult / ヤクルトレディ / ヤクルト400 / ヤクルト1000 / ミルミル / ソフール / ビフィーネ,1.0,食品,,
22690,２２６９０,明治ホールディングス,明治ホールディングス / 2269 / 明治 / Meiji / 明治乳業 / 明治製菓 / 明治ザバス / 明治ブルガリアヨーグルト / 明治ミルクチョコレート / 明治アーモンドチョコレート / 明治HD,1.0,食品,,
