ticker,ticker_fullwidth,company_name,sector17,company_name_variants,product_names,gpt_raw_outputs
13010,１３０１０,極洋,食品,KYOYO|極洋株式会社|Kyokuyo Co.|Ltd.,さば缶|かに缶|シーフードセレクション|極洋の缶詰|極洋の冷凍食品,"[""会社名: 極洋, KYOYO, Kyokuyo Co., Ltd.,\nブランド名: シーフードセレクション, 極洋の缶詰, 極洋の冷凍食品, 極洋のフィッシュソーセージ, 極洋の水産加工品"", ""会社名: 極洋, KYO, 極洋株式会社, KYOYO, 極洋グループ  \nブランド名: シーフードミックス, さば缶, かに缶, いくら, まぐろ"", ""会社名: 極洋, KKK, Kyokuyo, 極洋株式会社,  \nブランド名: かに缶, さば缶, まぐろ缶, いわし缶, さけ缶""]"
13320,１３３２０,ニッスイ,食品,日本水産|Nissui|日水|1332,さば缶|かにかま|まぐろ缶|いわし缶,"[""会社名: ニッスイ, 日本水産, Nissui,\nブランド名: ちくわ, かにかま, さば缶, まぐろ缶, いわし缶"", ""会社名: ニッスイ, Nissui, 日本水産,\nブランド名: 大きな大きな焼きおにぎり, ちくわ, さば缶, かに缶, ふっくらおいしい焼き魚"", ""会社名: ニッスイ, 日本水産, Nissui, 日水, 1332,\nブランド名: シーフード, ちくわ, かまぼこ, さけフレーク, さば缶,""]"
13330,１３３３０,マルハニチロ,食品,マルハ|ニチロ|MH|マルハニ,あけぼの|ラ・カンティーヌ|さば水煮|マルハニチロの缶詰|いわし蒲焼き,"[""会社名: マルハ, マルハニチロ,\nブランド名: あけぼの, マルハニチロの缶詰, ラ・カンティーヌ, さば水煮, いわし蒲焼き"", ""会社名: マルハ, マルハニ, ニチロ, MH, Maruha Nichiro  \nブランド名: あけぼの, アミノバイタル, マルハニチロシーフード, いちばんしぼり, ラ・カンティーヌ"", ""会社名: マルハ, ニチロ, MH, \nブランド名: あけぼの, 海のあじわい, さば水煮, いわし蒲焼, さけフレーク""]"
13750,１３７５０,ユキグニファクトリー,食品,ユキグニ,,"[""申し訳ありませんが、「ユキグニファクトリー」（証券コード: 13750）についての具体的な略称やブランド名の情報は持ち合わせていません。一般的には、企業の略称やブランド名は公式ウェブサイトやプレスリリース、または金融ニュースなどで確認することができます。"", ""申し訳ありませんが、私のデータベースには「ユキグニファクトリー」（証券コード: 13750）に関する具体的な情報がありません。そのため、会社の略称やブランド名を提供することができません。最新の情報は、公式の企業ウェブサイトや金融情報サービスを参照してください。"", ""申し訳ありませんが、「ユキグニファクトリー」（証券コード: 13750）に関する具体的な略称、ニックネーム、ブランド名、製品名についての情報は持っていません。一般的に企業名やブランド名は、企業の公式な情報源やニュース記事で確認することができます。公式ウェブサイトやプレスリリースを参照することをお勧めします。""]"
13760,１３７６０,カネコ種苗,食品,カネコ|Kaneko|Kaneko Seeds,つくばシリーズ|カネコグリーン|カネコフラワー|カネコベジタブル|カネコフルーツ,"[""会社名: カネコ種苗, Kaneko Seeds,\nブランド名: つくばシリーズ, カネコグリーン, カネコフラワー, カネコベジタブル, カネコフルーツ"", ""会社名: カネコ, カネコ種苗, Kaneko,\nブランド名: つるつる, つや姫, きらりん, こしひかり, ひとめぼれ"", ""会社名: カネコ, カネコ種苗, Kaneko,\nブランド名: つくばSD, つくばグリーン, つくばレッド, つくばブルー, つくばイエロー""]"
13770,１３７７０,サカタのタネ,食品,サカタ|Sakata Seed|Sakata Seed Corporation|Sakataのタネ,サカタのタネ|サカタの野菜|サカタの花|サカタのガーデニング|Sakata Home Gardening,"[""会社名: サカタ, Sakata Seed, Sakata Seed Corporation, Sakataのタネ, Sakata Co., Ltd.,\nブランド名: サカタのタネ, サカタの野菜, サカタの花, サカタのガーデニング, Sakata Home Gardening,"", ""会社名: サカタ, サカタのタネ, Sakata Seed,\nブランド名: サカタのタネ, タネのサカタ, Sakata Seed, ひまわりのタネ, ガーデンフラワー"", ""会社名: サカタ, サカタのタネ,  \nブランド名: サカタのタネガーデンセンター, サカタのタネオンラインショップ, サカタのタネガーデン, サカタのタネ種苗, サカタのタネガーデニング用品""]"
13790,１３７９０,ホクト,食品,Hokuto,きのこランド|ぶなしめじ|きのこ博士|霜降りひらたけ|えのき茸,"[""会社名: ホクト,\nブランド名: きのこ博士, きのこランド, 霜降りひらたけ, ぶなしめじ, えのき茸"", ""会社名: ホクト, Hokuto,\nブランド名: きのこ, ぶなしめじ, えのき, まいたけ, しいたけ"", ""会社名: ホクト,\nブランド名: きのこランド, きのこ村, きのこファーム, きのこキッチン, きのこレシピ""]"
14140,１４１４０,ショーボンドホールディングス,建設・資材,ショーボンド,,"[""申し訳ありませんが、「ショーボンドホールディングス」についての具体的な略称やブランド名の情報は持っていません。ただし、一般的な情報として、企業の略称やブランド名は公式ウェブサイトや金融ニュース、企業のプレスリリースなどで確認することができます。"", ""申し訳ありませんが、「ショーボンドホールディングス」についての具体的な略称やブランド名の情報は持ち合わせていません。一般的に、企業の略称やブランド名は公式サイトや投資家向け資料、SNSなどで確認することができます。具体的な情報を得るためには、これらのリソースを参照することをお勧めします。"", ""会社名: ショーボンド, ショーボンドHD, ショーボンドホールディングス,\nブランド名: 申し訳ありませんが、ショーボンドホールディングスの具体的なブランド名や製品名についての情報は持っていません。""]"
14170,１４１７０,ミライト・ワン,建設・資材,ミライト|ミライトワン|MIRAIT ONE|MIRAIT,,"[""申し訳ありませんが、「ミライト・ワン」（証券コード: 14170）についての具体的な略称やブランド名の情報は私のデータベースには含まれていません。一般的に、企業の略称やブランド名は公式ウェブサイトや金融ニュース、プレスリリースなどで確認することができます。"", ""会社名: ミライト, ミライトワン, MIRAIT ONE, ミライト・ワン,\nブランド名:"", ""会社名: ミライト, ミライトワン, MIRAIT, MIRAIT ONE, 14170,\nブランド名: 情報がありません。""]"
14190,１４１９０,タマホーム,建設・資材,Tama Home|Tama|タマ,大安心の家|木麗な家|GALLERIANT|タマリビング|タマガーデン,"[""会社名: タマホーム, Tama Home,\nブランド名: 大安心の家, 木麗な家, GALLERIANT, タマリビング, タマガーデン"", ""会社名: タマホーム, Tama,\nブランド名: 大安心の家, 木麗な家, GALLERIANT, タマリビング, タマガーデン"", ""会社名: タマホーム, タマ,  \nブランド名: 大安心の家, 木麗な家, 元気な家, ちょっといい家, GALLERIANT""]"
